商品にホコリかぶっていました 。,0
浜の町店はクーポンの種類が少ないように思います。,0
パン売り場のパンの種類をふやしてほしいです バケットをおいてください 。,1
駐輪場を作ってほしい。,1
買い物袋を忘れた時、マジカで支払うともらえたので助かりました 。,1
きき湯を安くしてほしい。,0
業務用ミックスナッツをおいてね!。,1
従業員全員がもう少し愛想良く対応してくれると気持ちよく買い物できる お菓子全般値上げしないで欲しい お菓子はドンキでしか買わないので 。,2
アプリのデジタルクーポンの先着数をもっと増やして欲しいです 。,2
【国産　おろし大根　４袋入  ¥100】【菅原冷蔵　広野工場　9:00~17:00土日祝日は除く　0234-92-3131】←販売を検討して下さい…。,2
バイトがやる気ないな 。,0
いつも有難う御座います。,1
レジのSさんめっちゃ対応ええ。,1
豆腐と牛乳がいつも安くて嬉しい PB商品の種類が増えて、嬉しいです いつも楽しみに来店しています 。,1
レジ係のIさんに親切に対応して頂きました ありがとうございます 。,1
特にないです 。,2
レジが遅いうえに態度がわるい。,0
いつも楽しく買い物してます。,1
特に無い。,2
売場の陳列が変わって見やすくなったと思います。,1
レジの人が親切で良かったです 。,1
お得に購入できるからありがたいです 。,1
レジで親切にマジカの事を教えてくださいました。,1
カートが使いにくい！落ちる！まとめ買いは他で買う。,0
お米の価額をもっと下げってもらえないでしょうか？市場より1円や2円安いというのは1番安いとは言えません 。,0
良く服を見るのが楽しくて見ますが･･･可愛い服とか大人っぽい服とか、サイズが無くて諦めたりします 女性用でXLとかあってくれると娘と双子コーデが楽しめたりするのに･･･って思います！夢が叶う日が来て欲しいです 。,1
クーポンを2個、並びで押したはずが、最初に押したクーポンが反映されず、押す前の状態に戻っていた 店員さんは値引き処理しますと言ってくれましたが、面倒なので20円引きはあきらめました 次回から、クーポン押さなくてもバーコードで自動的に値引きするようにしてください それと、店内の電波状況が悪いのが反映され無かった原因だと思います 電波状況の改善も合わせてお願い致します 。,0
3ヵ所しかレジが開いてなくて何処も5人位並んでいた 少ししてから他のレジが開いたが もう少し速い対応をしてほしい 。,0
ジョージアのオリジナル缶コーヒーが無いので置いて欲しい 。,1
申し分ありませんでした 。,2
混んでいても、皆さんニコニコとしていますね 頑張って下さい。,1
2.2ミリの太麺パスタを入れて下さい トロピカーナグレープフルーツジュースの小さいバックを入れて下さい 。,2
