黒マー油を置いて欲しいです 。,1
カートの台数を増やして下さい 。,1
重い買い物をしたかごを、台まで運んでもらって、助かりました。,0
混雑時にレジを全部解放して欲しい。,1
キレートレモンを安くしてほしい 。,1
食品を安くしてほしい！。,1
道路が混んでいて入りにくかった。,0
平日なのかレジは二つしか開いてなくて凄い行列でレジ待ちしてました 頭に来てので近くの従業員に話したらすぐレジを開けてくれました レジの人は並んでる人を見て応援を頼まないのですか？教育がなってないっておも。,1
9月1日くらいですが、パルムマルチのクーポン券があったので使おうとしたら、商品が無かったので在庫は置いといてほしい それを目当てで買いに来てるのにないのは困ります 。,1
店に置いてある、割引クーポン券がとれる機械ですが、夕方いくと、何もチケットがなくていつもがっかりです 枚数増やしてください 。,1
axeのボディースプレーの品揃えが少ないので、ゴールドウッドバニラ香を加えて欲しい 入荷すれば、必ず買います 。,1
迷路過ぎて迷う。,0
レジは常時2ヶ所開放してください 。,1
北海道限定クラッシックビールが、無くなっていた 前回行った時、買えたのに残念 また、置いて下さい 。,1
猫ちゃんのポンチュールの販売して欲しいです 今日買いに行ったけど見当たらなかったので売っていたかもしれないけど探すことができませんでした お店の方も中々探せなかったので諦めてかえって来ました 。,1
たまには、クジが当たって欲しい。,1
Mさん、Sさん　対応がいいが、茶髪なのが気になる,0
旅行先で、初めて入った店舗ですが、駐車場の入り方がわかりづらかった。,0
リンゴのバラ売りと袋とが違う場所にあり、バラ売りが欲しかったのに諦めそうになりました 同じ物はまとめてもらえると探しやすいです 。,1
Calbeeのポテトチップスのセールをお願いします!!ドラッグストアよりドンキが安いのは知ってますが、もう少しだけで良いので値下げをお願いしますm(_ _)m。,1
アプリのデジタルクーポンの先着数をもっと増やして欲しいです 。,1
大きいサイズの、アンダーウェアを、小スペースで良いので、置いて欲しいです (３L．４Ｌ．のパンツ などなど！！　。,1
矢作のドンキ最高。,0
レジご１台しか作動してなくかなり待たされた。,0
買いたい商品を一品忘れたら、取りに戻ることなくレジまで持って来てもらいました レジのMさんの対応のおかげです ありがとうございました 。,0
レジの女性が積極的で好印象でした 。,0
クイックペイのキャンペーンで対象外の店舗があるのが残念でした 全店舗での開催にしてほしかった 。,1
セルフレジを導入していただきたい 。,1
以前、リッツのチーズサンドがいつも在庫切れだとアンケートに上げたら、最近はいつも購入できて嬉しいです 対応していただきありがとうございます 物価高の昨今、お買い得な商品が多いドンキに助けられています 今後も良心的な価格設定をお願いします 。,1
レジ担当の方がお客様の顔見ながら声かけしていて気持ちよかったです ありがとうございます どの方も同じように接客してくれたらいいですね 。,0
いつもありがとうございます 。,0
鮭の切り身10切れセット、安くて定期購入していたのに無くなってしまって悲しいです……復活して欲しいです。,1
皆さん、優しいですよ 。,0
夏場の便座の温度はもっと下げて欲しい 。,1
クーポンをもっと充実して欲しい 。,1
セルフレジはなかなかなれないです。,0
商品の価格が書いていないのがあって、近くに誰もスタッフも居ないので値段が聞けなかったので、表示価格を分かりやすくして頂けるとありがたいです 。,1
今日の買い物でレジ打ちのミスがあり(クイン)電話での対応は普通だったが0570-059-601に電話して音声入力2を押しても上手く作動されず何度も無駄に電話させられストレスを感じた 忙しいのは分かるが初歩的な電話の繋げ方や単純なレジ打ちの間違えでも信用出来ず、その都度、買い上げた品をその場でレシート確認をするのはストレスがあり困る 。,0
あさひ　本生を、安くして欲しい。,1
今のまま品数豊富でお願いします。,1
いつもお世話になっております。,0
ありがとうございました。,0
会計の際、お釣りの五千円札を、千円札に両替してもらいました 。,0
会計までの道のりがたまに迷子になるので、会計までの順路というか欲しい。,1
いつもペットボトルのお茶をケース購入します １０月には値上げになるので駆け込み購入者が増えると思うので在庫の強化をお願いします。,1
レジの従業員さんが、親切でした。,0
やすい。,0
